1	Il	cln	CL	CLS	s=suj	1101110	2	suj	_	_
2	est	être	V	V	m=ind|n=s|p=3|t=pst	1101011	0	root	_	_
3	violet	violet	A	ADJ	g=m|n=s|s=qual	_	2	ats	_	_
4	.	.	PONCT	PONCT	s=s	_	2	ponct	_	_

1	Il	cln	CL	CLS	s=suj	1101110	2	suj	_	_
2	est	être	V	V	m=ind|n=s|p=3|t=pst	1101011	0	root	_	_
3	probable	probable	A	ADJ	n=s|s=qual	0100100	2	ats	_	_
4	que	que	C	CS	s=s	1100101	2	obj	_	_
5	Fred	Fred	N	NPP	g=m|n=s|s=p	0101100	6	suj	_	_
6	viendra	venir	V	V	m=ind|n=s|p=3|t=fut	1101001	4	obj	_	_
7	.	.	PONCT	PONCT	s=s	_	2	ponct	_	_

1	Il	cln	CL	CLS	s=suj	1101110	2	suj	_	_
2	est	être	V	V	m=ind|n=s|p=3|t=pst	1101011	0	root	_	_
3	difficile	difficile	A	ADJ	n=s|s=qual	0100100	2	ats	_	_
4	de	de	P	P	_	11110	2	obj	_	_
5	résoudre	résoudre	V	VINF	m=inf	1100000	4	obj	_	_
6	ce	ce	D	DET	g=m|n=s|s=dem	1101111	7	det	_	_
7	problème	problème	N	NC	g=m|n=s|s=c	0011100	5	obj	_	_
8	.	.	PONCT	PONCT	s=s	_	2	ponct	_	_

1	Il	cln	CL	CLS	s=suj	1101110	2	suj	_	_
2	est	être	V	V	m=ind|n=s|p=3|t=pst	1101011	0	root	_	_
3	difficile	difficile	A	ADJ	n=s|s=qual	0100100	2	ats	_	_
4	à	à	P	P	_	1100110	2	mod	_	_
5	résoudre	résoudre	V	VINF	m=inf	1100000	4	obj	_	_
6	(	(	PONCT	PONCT	s=w	_	5	ponct	_	_
7	ce	ce	D	DET	g=m|n=s|s=dem	1101111	8	det	_	_
8	problème	problème	N	NC	g=m|n=s|s=c	0011100	5	mod	_	_
9	)	)	PONCT	PONCT	s=w	_	5	ponct	_	_
10	.	.	PONCT	PONCT	s=s	_	2	ponct	_	_

1	Il	cln	CL	CLS	s=suj	1101110	2	suj	_	_
2	pleut	pleuvoir	V	V	m=ind|n=s|p=3|t=pst	1101001	0	root	_	_
3	.	.	PONCT	PONCT	s=s	_	2	ponct	_	_

1	Il	cln	CL	CLS	s=suj	1101110	2	suj	_	_
2	fait	faire	V	V	m=ind|n=s|p=3|t=pst	1100011	0	root	_	_
3	beau	beau	ADV	ADV	_	0000101	2	mod	_	_
4	.	.	PONCT	PONCT	s=s	_	2	ponct	_	_

1	Il	cln	CL	CLS	s=suj	1101110	2	suj	_	_
2	faut	falloir	V	V	m=ind|n=s|p=3|t=pst	1101000	0	root	_	_
3	du	de	P+D	P+D	s=def	1111111	2	de_obj	_	_
4	pain	pain	N	NC	g=m|n=s|s=c	0011111	3	obj	_	_
5	.	.	PONCT	PONCT	s=s	_	2	ponct	_	_

1	Il	cln	CL	CLS	s=suj	1101110	2	suj	_	_
2	faut	falloir	V	V	m=ind|n=s|p=3|t=pst	1101000	0	root	_	_
3	que	que	C	CS	s=s	1100101	2	obj	_	_
4	Fred	Fred	N	NPP	g=m|n=s|s=p	0101100	5	suj	_	_
5	vienne	venir	V	VS	m=subj|n=s|p=3|t=pst	1101001	3	obj	_	_
6	.	.	PONCT	PONCT	s=s	_	2	ponct	_	_

1	Il	cln	CL	CLS	s=suj	1101110	2	suj	_	_
2	est	être	V	V	m=ind|n=s|p=3|t=pst	1101011	0	root	_	_
3	probable	probable	A	ADJ	n=s|s=qual	0100100	2	ats	_	_
4	que	que	C	CS	s=s	1100101	2	obj	_	_
5	Fred	Fred	N	NPP	g=m|n=s|s=p	0101100	6	suj	_	_
6	viendra	venir	V	V	m=ind|n=s|p=3|t=fut	1101001	4	obj	_	_
7	.	.	PONCT	PONCT	s=s	_	2	ponct	_	_

1	Il	cln	CL	CLS	s=suj	1101110	2	suj	_	_
2	est	être	V	V	m=ind|n=s|p=3|t=pst	1101011	0	root	_	_
3	de	de	P	P	_	11110	2	de_obj	_	_
4	règle	règle	N	NC	g=f|n=s|s=c	0011101	3	obj	_	_
5	de	de	P	P	_	11110	2	mod	_	_
6	porter	porter	V	VINF	m=inf	1100000	5	obj	_	_
7	un	un	D	DET	g=m|n=s|s=ind	10110	8	det	_	_
8	chapeau	chapeau	N	NC	g=m|n=s|s=c	0011111	6	obj	_	_
9	.	.	PONCT	PONCT	s=s	_	2	ponct	_	_

1	Il	cln	CL	CLS	s=suj	1101110	2	suj	_	_
2	plaît	plaire	V	V	m=ind|n=s|p=3|t=pst	1101001	0	root	_	_
3	à	à	P	P	_	1100110	2	mod	_	_
4	Vanne	Vanne	N	NPP	g=m|n=s|s=p	_	3	obj	_	_
5	que	que	C	CS	s=s	1100101	2	obj	_	_
6	Fred	Fred	N	NPP	g=m|n=s|s=p	0101100	7	suj	_	_
7	vienne	venir	V	VS	m=subj|n=s|p=3|t=pst	1101001	5	obj	_	_
8	.	.	PONCT	PONCT	s=s	_	2	ponct	_	_

1	Il	cln	CL	CLS	s=suj	1101110	3	suj	_	_
2	a	avoir	V	V	m=ind|n=s|p=3|t=pst	1101010	3	aux_tps	_	_
3	été	être	V	VPP	m=part|t=past	1100011	0	root	_	_
4	dit	dire	V	VPP	g=m|m=part|n=s|t=past	1101001	3	mod	_	_
5	que	que	C	CS	s=s	1100101	4	obj	_	_
6	Fred	Fred	N	NPP	g=m|n=s|s=p	0101100	7	suj	_	_
7	viendra	venir	V	V	m=ind|n=s|p=3|t=fut	1101001	5	obj	_	_
8	.	.	PONCT	PONCT	s=s	_	3	ponct	_	_

1	Il	cln	CL	CLS	s=suj	1101110	3	suj	_	_
2	se	se	CL	CLR	p=3|s=refl	1101100	3	aff	_	_
3	raconte	raconter	V	V	m=ind|n=s|p=3|t=pst	1101001	0	root	_	_
4	que	que	C	CS	s=s	1100101	3	obj	_	_
5	Fred	Fred	N	NPP	g=m|n=s|s=p	0101100	6	suj	_	_
6	viendra	venir	V	V	m=ind|n=s|p=3|t=fut	1101001	4	obj	_	_
7	.	.	PONCT	PONCT	s=s	_	3	ponct	_	_

1	Il	cln	CL	CLS	s=suj	1101110	2	suj	_	_
2	manque	manquer	V	V	m=ind|n=s|p=3|t=pst	0011111	0	root	_	_
3	du	de	P+D	P+D	s=def	1111111	2	de_obj	_	_
4	pain	pain	N	NC	g=m|n=s|s=c	0011111	3	obj	_	_
5	.	.	PONCT	PONCT	s=s	_	2	ponct	_	_

1	Il	cln	CL	CLS	s=suj	1101110	2	suj	_	_
2	reste	rester	V	V	m=ind|n=s|p=3|t=pst	1101001	0	root	_	_
3	du	de	P+D	P+D	s=def	1111111	2	de_obj	_	_
4	pain	pain	N	NC	g=m|n=s|s=c	0011111	3	obj	_	_
5	.	.	PONCT	PONCT	s=s	_	2	ponct	_	_

1	Il	cln	CL	CLS	s=suj	1101110	3	suj	_	_
2	est	être	V	V	m=ind|n=s|p=3|t=pst	1101011	3	aux_tps	_	_
3	venu	venir	V	VPP	g=m|m=part|n=s|t=past	1100011	0	root	_	_
4	trois	trois	D	DET	s=card	1010110	5	det	_	_
5	personnes	personne	N	NC	g=f|n=p|s=neg	0011110	3	obj	_	_
6	.	.	PONCT	PONCT	s=s	_	3	ponct	_	_

1	Il	cln	CL	CLS	s=suj	1101110	3	suj	_	_
2	a	avoir	V	V	m=ind|n=s|p=3|t=pst	1101010	3	aux_tps	_	_
3	été	être	V	VPP	m=part|t=past	1100011	0	root	_	_
